Country/Area  Year  Unit  Agriculture, hunting, forestry, fishing (ISIC A-B)  Mining, Manufacturing, Utilities (ISIC C-E)  Manufacturing (ISIC D)  Construction (ISIC F)  Wholesale, retail trade, restaurants and hotels (ISIC G-H)  Transport, storage and communication (ISIC I)  Other Activities (ISIC J-P)  Total Value Added
Afghanistan  2022  US$  4777172133.874282  2132734206.1128078  1444469852.5917895  142405276.88816142  1146170772.8556602  1252016108.0949109  3987632846.599903  13438131344.447813
Africa  2022  US$  458398360442.0293  661771454072.3015  333950372198.3943  196071672429.77155  392782295570.63556  241292391281.06192  767058743136.2852  2717740175087.3438
Albania  2022  US$  3522763877.6262336  2207156063.3984456  1236498046.4430482  1839891485.4404664  2701954101.9122663  1219000118.5079212  5036086398.820479  16526852045.705812
Algeria  2022  US$  24498622520.18425  47694682653.192474  8607552008.104511  22515896472.47728  25612164510.03988  20068441247.966698  44192431397.71671  184582238801.5773
Americas  2022  US$  670826516191.4789  5334628246487.036  3782441659282.637  1556274434476.2334  5229631963851.674  3432562727337.4194  17069541844966.477  33293465229601.453
Andorra  2022  US$  16457823.477540981  121966668.81311202  120715243.25795075  254302292.22613165  711629977.4601905  171150847.9852904  1756990963.2652776  3032498573.2275434
Angola  2022  US$  15565418356.595781  44276974569.40416  8440862418.256671  6913694343.57315  25293612132.419918  2485175291.55613  18874716041.534534  113409590735.08368
Anguilla  2022  US$  2744444.4444444445  18322222.22222222  6196296.296296296  26940740.74074074  183262962.96296296  23918518.51851852  112225925.92592593  367411111.1111111
Antigua and Barbuda  2022  US$  32644444.444444444  101781481.48148148  36033333.33333333  258181481.48148146  400118518.5185185  183614814.8148148  587014814.8148148  1563355555.5555553
Argentina  2022  US$  41906598685.99347  128981735611.0692  101317898678.95761  23523414487.191708  115091927184.7174  29163522967.66375  190583937659.8831  529251136596.5186
Armenia  2022  US$  2024177090.5967646  3605335858.876113  2206072779.7761383  1328037903.8413281  2640243731.8361797  1615167375.5387523  6584199862.126839  17797161822.815975
Aruba  2022  US$  908915.6424581006  236317258.10055867  103070749.16201118  172032309.4972067  935926802.7932961  272922177.65363127  1584100767.0391061  3202208230.167598
Asia  2022  US$  2756247463643.526  11371899875925.18  8699104483035.868  2409692698219.9053  4569673727696.014  3208407829059.274  12722831549349.8  37038981897253.195
Australia  2022  US$  42342723801.22029  367860910145.94  95735175506.1402  118257753348.77211  185718665903.83862  116263530641.73279  839023250159.1975  1669466834000.7014
Australia and New Zealand  2022  US$  56440249277.22713  399196539827.3341  118599749402.43216  135331467591.67352  213746065956.67548  131052585847.95488  959546820606.3029  1895313729106.534
Austria  2022  US$  6517455839.823266  92148352687.95985  74818043726.30534  30632878483.569645  73068761123.81262  37000268418.584915  182173162402.98468  421540878956.735
Azerbaijan  2022  US$  3750764705.882353  40255705882.35294  3940647058.8235297  3806823529.4117646  7730941176.470589  5839705882.3529415  11533941176.470589  72917882352.94118
Bahamas  2022  US$  73863922  486341630  126580658  576665938  2571686401  961204681  6706804455  11376567029
Bahrain  2022  US$  129316234.04255319  15243088755.319149  8351734311.170213  3531220143.617021  2676277494.680851  3113195577.12766  18435425372.340424  43128523574.46809
Bangladesh  2022  US$  48561675346.73293  106448228971.4772  94221223743.26357  40289011469.462875  66657086617.42672  35608709656.97101  118556951901.38762  416350714987.9515
Barbados  2022  US$  82900000  390950000  267900000  320350000  1192650000  711900000  2257050000  4955800000
Belarus  2022  US$  5617258291.763452  20661453486.15818  17500941700.620693  3523168576.9772663  7678079281.063173  8478194280.491984  19024328852.67126  64982482769.12531
Belgium  2022  US$  3732297846.909949  89200561953.78125  73687617351.29271  27616648442.5592  69959841462.27115  51404250171.75901  280757533624.0521  522671133501.33264
Belize  2022  US$  220238313  289645994.5  188691926.5  150827410.5  562510693  223257295  952506951  2398986657
Benin  2022  US$  4679155973.151276  1929520765.910882  1708985790.0911815  1031193338.9708959  2517240065.569924  1845377697.3750226  3795413344.7575045  15797901185.735504
Bermuda  2022  US$  19292690  148491113  30152440  286608243  639490354  322057832  5829366258  7245306491
Bhutan  2022  US$  425236778.1331771  694124094.0963377  252953281.0260788  228313600.97224203  377678115.75824296  288669228.3585025  817583005.3574512  2831604822.6886764
Bolivia (Plurinational State of)  2022  US$  5487272058.321274  10337052142.112879  4526279143.849493  1193892026.6280751  4172461859.768451  3970321686.107091  13686729897.395079  38847729670.18813
Bosnia and Herzegovina  2022  US$  1182900763.7309003  4978796946.89832  3520336634.235692  1060482739.6458511  4074615479.4422483  1962847957.4376428  7286554319.039378  20546198744.023678
Botswana  2022  US$  357959912.44104046  5475162194.202231  1094311010.9098387  2136860087.0604002  2861453833.9654193  952912922.6003339  7557076224.643057  19341425174.912483
Brazil  2022  US$  130819691425.14542  331456198362.3548  216882432057.82254  65957978006.81181  236444304701.75388  123709421215.4499  770974392723.6556  1659361986434.9778
British Virgin Islands  2022  US$  1391604  48015045  27495644  55517777  252966026  111729775  1051980263  1521597796
Brunei Darussalam  2022  US$  182856327.17317605  11007252207.017902  3690580414.170635  323775831.58252174  1006881445.6365498  554240674.9970922  3863742421.034833  16938748905.991703
Bulgaria  2022  US$  3483390601.970274  19968694140.679214  12048921005.120556  2990632433.9095984  13691376552.861094  9721625145.03822  30333764901.418747  80189483775.87715
Burkina Faso  2022  US$  3930982267.2499676  5084548752.587015  2009598317.6099548  714792840.1781867  1412142138.6685956  724129460.5361428  5323801716.540917  17190397175.76243
Burundi  2022  US$  1315604178.397478  544967758.8117905  501181069.2965965  139959417.35416448  209431872.8963954  155688978.0749535  1249755404.8954523  3608913239.453798
Cabo Verde  2022  US$  85379695.76741004  161185043.28268299  107890269.63944787  227790113.74083635  442556332.79723656  234018919.15771022  851113764.6120888  2002043869.348489
Cambodia  2022  US$  6558983511.538513  6788082065.881933  5552171050.696235  4393792698.555981  2937364182.9744263  2585265366.6995554  4465655499.332369  27729143324.982533
Cameroon  2022  US$  7528517954.173939  8204129496.060013  5739213287.698023  3094136114.405401  7001195359.454349  5491032108.795535  9859730289.896881  41178741323.748024
Canada  2022  US$  40133310765.42068  349986203327.28906  209817531742.22552  152816932499.97095  253623349761.85822  153991764013.53616  1039900671469.3835  1990451734524.543
Caribbean  2022  US$  16153600724.559914  108730221413.12952  92137293330.91551  38168192502.40028  83066810706.59628  30809411465.47734  198600821325.39185  475529051739.5
Cayman Islands  2022  US$  27164719.858879436  224024100.89640358  59257739.43095772  286611764.84705937  586946372.9854919  326839510.15804064  4487875659.102636  5939462126.648506
Central African Republic  2022  US$  764469680.0345213  461249853.49601364  443187335.75473964  37821574.29141008  441192317.4661548  51820080.747092955  535620516.8800617  2292174022.9168577
Central America  2022  US$  79119865256.21458  452411819311.51324  355500910181.2785  112837007819.79004  385158396935.2325  156261416577.99753  509008293965.0235  1694796799866.871
Central Asia  2022  US$  41713507266.090805  114200871064.26721  70236881775.06544  23268802073.54457  51507578136.481705  30479596705.050568  106437022117.16219  367607377362.88275
Chad  2022  US$  5237553273.12046  7880619694.076615  2584236740.3573685  753909020.0297513  1342988371.099148  474876093.31815034  1941705534.5556195  17631651986.201347
Chile  2022  US$  10657471791.190426  78456631041.9937  29284934589.71943  17671254526.760315  31996242090.183872  21262472706.325375  109890091975.86407  269934164132.31775
China (mainland)  2022  US$  1374205539721.4802  5961627934224.605  5063209109805.673  1237659835337.4956  1964819554359.7002  1448793369132.4094  5976064288304.141  17963170521079.832
China, Hong Kong SAR  2022  US$  264815283.1437478  8014919898.230414  3409838026.4532795  15027909807.93172  66148959676.474  37968687478.04248  219958798193.94098  347384090337.76337
China, Macao Special Administrative Region  2022  US$  ...  578534503.8662117  234339951.20170167  1724568455.695486  2801416326.693782  719386453.3715731  16081548153.868736  21905453893.49579
Colombia  2022  US$  28510447420.455616  77807775451.97357  39591943741.60167  14141037190.306744  46326128996.69948  24114031451.80757  118054529545.46825  308953950056.71124
Comoros  2022  US$  452428602.0742386  100513863.85250299  86969081.77033275  12309875.684566109  237467332.5447319  72509575.7333913  314347192.57625365  1189576442.467825
Congo  2022  US$  1145390612.9208744  5398399825.74231  1380792048.9009583  262434933.5150604  1849473494.6483285  850411165.216542  3354258135.4272494  12860368167.470364
Cook Islands  2022  US$  9548856.294448985  2877217.825025632  6952426.37190774  8696665.57470598  104160057.06375311  33283774.872927547  101034944.7855356  259601516.41639686
Costa Rica  2022  US$  2750204861.038656  11632922999.923218  9802057513.068148  2609900586.4872494  8567202206.352281  6387930214.31836  30870427545.2112  62818588413.32942
Croatia  2022  US$  2203078945.892843  10924682809.169989  8405374953.202724  3321718983.8599277  10657913994.847641  7273159697.46539  25642113088.553684  60022667519.789474
